del_my
21168.17214
20511.87099
19855.03901
19595.02151
18927.6189
18308.43949
17701.07282
17093.70615
16517.79468
16454.7629
15886.55668
15318.35047
14750.14425
14233.74051
13732.66551
13231.59051
12730.51551
12347.5709
11999.58197
11651.59305
11616.65327
11379.11913
11110.70623
10845.45789
10580.09398
10314.26776
10047.97924
9781.343981
9514.246419
9246.68655
8978.895529
8689.125135
8657.730676
8352.074217
8046.417758
7740.635721
7419.915277
7098.165277
6776.547413
6454.665277
6120.832483
5785.892063
5451.226521
5417.691247
5082.888266
4764.044773
4446.409969
4128.775165
3811.140361
3627.748496
3453.497122
3279.245749
3104.851371
3079.831222
